Time,numTrans
3/21/13 0:00,53840
3/23/13 0:00,58002
3/25/13 0:00,51011
3/27/13 0:00,51993
3/29/13 0:00,66205
3/31/13 0:00,44586
4/2/13 0:00,60268
4/4/13 0:00,69048
4/6/13 0:00,57200
4/8/13 0:00,63470
4/10/13 0:00,68820
4/12/13 0:00,60395
4/14/13 0:00,53417
4/16/13 0:00,65797
4/18/13 0:00,52605
4/20/13 0:00,48016
4/22/13 0:00,46737
4/24/13 0:00,67982
4/26/13 0:00,56533
4/28/13 0:00,40986
4/30/13 0:00,48795
5/2/13 0:00,57278
5/4/13 0:00,48349
5/6/13 0:00,51244
5/8/13 0:00,47359
5/10/13 0:00,67937
5/12/13 0:00,69320
5/14/13 0:00,63287
5/16/13 0:00,60543
5/18/13 0:00,51982
5/20/13 0:00,50093
5/22/13 0:00,53981
5/24/13 0:00,55106
5/26/13 0:00,39879
5/28/13 0:00,55138
5/30/13 0:00,57170
6/1/13 0:00,52390
6/3/13 0:00,52048
6/5/13 0:00,54947
6/7/13 0:00,54331
6/9/13 0:00,46237
6/11/13 0:00,51208
6/13/13 0:00,43302
6/15/13 0:00,41531
6/17/13 0:00,43399
6/19/13 0:00,46903
6/21/13 0:00,52994
6/23/13 0:00,40634
6/25/13 0:00,45588
6/27/13 0:00,46797
6/29/13 0:00,38973
7/1/13 0:00,34053
7/3/13 0:00,35351
7/5/13 0:00,36291
7/7/13 0:00,28865
7/9/13 0:00,41777
7/11/13 0:00,41040
7/13/13 0:00,40313
7/15/13 0:00,36738
7/17/13 0:00,39565
7/19/13 0:00,38020
7/21/13 0:00,36884
7/23/13 0:00,39644
7/25/13 0:00,42304
7/27/13 0:00,35987
7/29/13 0:00,44260
7/31/13 0:00,51919
8/2/13 0:00,53174
8/4/13 0:00,44605
8/6/13 0:00,52260
8/8/13 0:00,57036
8/10/13 0:00,52040
8/12/13 0:00,45811
8/14/13 0:00,50484
8/16/13 0:00,68301
8/18/13 0:00,53134
8/20/13 0:00,66539
8/22/13 0:00,62772
8/24/13 0:00,51085
8/26/13 0:00,53528
8/28/13 0:00,63645
8/30/13 0:00,60716
9/1/13 0:00,45578
9/3/13 0:00,50503
9/5/13 0:00,60222
9/7/13 0:00,54231
9/9/13 0:00,54966
9/11/13 0:00,49512
9/13/13 0:00,48362
9/15/13 0:00,46764
9/17/13 0:00,66291
9/19/13 0:00,59004
9/21/13 0:00,53286
9/23/13 0:00,60286
9/25/13 0:00,58150
9/27/13 0:00,50429
9/29/13 0:00,41741
10/1/13 0:00,55320
10/3/13 0:00,61708
10/5/13 0:00,47895
10/7/13 0:00,43235
10/9/13 0:00,46991
10/11/13 0:00,54449
10/13/13 0:00,51248
10/15/13 0:00,57320
10/17/13 0:00,45193
10/19/13 0:00,54639
10/21/13 0:00,58142
10/23/13 0:00,54572
10/25/13 0:00,59853
10/27/13 0:00,44388
10/29/13 0:00,51237
10/31/13 0:00,56476
11/2/13 0:00,41179
11/4/13 0:00,42094
11/6/13 0:00,55035
11/8/13 0:00,59961
11/10/13 0:00,57169
11/12/13 0:00,58510
11/14/13 0:00,70175
11/16/13 0:00,51595
11/18/13 0:00,73198
11/20/13 0:00,77962
11/22/13 0:00,76646
11/24/13 0:00,60018
11/26/13 0:00,80055
11/28/13 0:00,102010
11/30/13 0:00,80868
12/2/13 0:00,74324
12/4/13 0:00,79738
12/6/13 0:00,71277
12/8/13 0:00,49174
12/10/13 0:00,67874
12/12/13 0:00,59677
12/14/13 0:00,55858
12/16/13 0:00,63090
12/18/13 0:00,81656
12/20/13 0:00,69475
12/22/13 0:00,51543
12/24/13 0:00,56872
12/26/13 0:00,48575
12/28/13 0:00,47777
12/30/13 0:00,56501
1/1/14 0:00,41476
1/3/14 0:00,63821
1/5/14 0:00,55761
1/7/14 0:00,62126
1/9/14 0:00,58365
1/11/14 0:00,56464
1/13/14 0:00,54756
1/15/14 0:00,60392
1/17/14 0:00,58397
1/19/14 0:00,49224
1/21/14 0:00,71521
1/23/14 0:00,63527
1/25/14 0:00,55371
1/27/14 0:00,60746
1/29/14 0:00,61786
1/31/14 0:00,61999
2/2/14 0:00,50400
2/4/14 0:00,65812
2/6/14 0:00,69721
2/8/14 0:00,64069
2/10/14 0:00,67622
2/12/14 0:00,62805
2/14/14 0:00,76660
2/16/14 0:00,56785
2/18/14 0:00,68333
2/20/14 0:00,71666
2/22/14 0:00,59691
2/24/14 0:00,68496
2/26/14 0:00,71527
2/28/14 0:00,71658
3/2/14 0:00,59067
3/4/14 0:00,85916
3/6/14 0:00,71619
3/8/14 0:00,71019
3/10/14 0:00,66786
3/12/14 0:00,76019
3/14/14 0:00,68735
3/16/14 0:00,58730
3/18/14 0:00,57881
3/20/14 0:00,72117
3/22/14 0:00,69139
3/24/14 0:00,67382
3/26/14 0:00,69897
3/28/14 0:00,69155
3/30/14 0:00,55333
4/1/14 0:00,64692
4/3/14 0:00,67292
4/5/14 0:00,59610
4/7/14 0:00,62222
4/9/14 0:00,64278
4/11/14 0:00,66874
4/13/14 0:00,49420
4/15/14 0:00,74882
4/17/14 0:00,67212
4/19/14 0:00,56685
4/21/14 0:00,57961
4/23/14 0:00,72147
4/25/14 0:00,78038
4/27/14 0:00,50392
4/29/14 0:00,64207
5/1/14 0:00,60910
5/3/14 0:00,56112
5/5/14 0:00,63433
5/7/14 0:00,70424
5/9/14 0:00,67693
5/11/14 0:00,51666
5/13/14 0:00,70672
5/15/14 0:00,72761
5/17/14 0:00,55577
5/19/14 0:00,60368
5/21/14 0:00,71120
5/23/14 0:00,74593
5/25/14 0:00,53928
5/27/14 0:00,67040
5/29/14 0:00,65930
5/31/14 0:00,55166
6/2/14 0:00,61179
6/4/14 0:00,66435
6/6/14 0:00,64859
6/8/14 0:00,47730
6/10/14 0:00,65460
6/12/14 0:00,61583
6/14/14 0:00,58961
6/16/14 0:00,65347
6/18/14 0:00,66992
6/20/14 0:00,59884
6/22/14 0:00,50429
6/24/14 0:00,64766
6/26/14 0:00,62354
6/28/14 0:00,56883
6/30/14 0:00,62009
7/2/14 0:00,67724
7/4/14 0:00,61901
7/6/14 0:00,53366
7/8/14 0:00,70042
7/10/14 0:00,64146
7/12/14 0:00,54181
7/14/14 0:00,59877
7/16/14 0:00,67767
7/18/14 0:00,62427
7/20/14 0:00,54742
7/22/14 0:00,66921
7/24/14 0:00,64815
7/26/14 0:00,57528
7/28/14 0:00,59561
7/30/14 0:00,64442
8/1/14 0:00,69283
8/3/14 0:00,52550
8/5/14 0:00,72928
8/7/14 0:00,70732
8/9/14 0:00,62960
8/11/14 0:00,70184
8/13/14 0:00,75011
8/15/14 0:00,69698
8/17/14 0:00,59319
8/19/14 0:00,75458
8/21/14 0:00,75470
8/23/14 0:00,60189
8/25/14 0:00,66411
8/27/14 0:00,74318
8/29/14 0:00,67664
8/31/14 0:00,59751
9/2/14 0:00,71539
